uniform_date,21_d_MA,raw_sales
10/11/2013,32139.07008,19262.15708
10/12/2013,33200.90098,0
10/13/2013,32202.78661,0
10/14/2013,33326.69375,12282.78362
10/15/2013,35253.47625,29327.06769
10/16/2013,35253.47625,22807.02169
10/17/2013,35253.47625,20819.71992
10/18/2013,23679.91255,34617.08754
10/19/2013,22079.7323,0
10/20/2013,22227.97308,0
10/21/2013,22833.40477,30580.75462
10/22/2013,23798.93782,29793.55015
10/23/2013,23798.93782,14057.00077
10/24/2013,23798.93782,36736.09623
10/25/2013,25485.13169,53361.22162
10/26/2013,24862.2898,0
10/27/2013,25954.0366,0
10/28/2013,27785.24855,24021.05677
10/29/2013,28007.98866,21841.57431
10/30/2013,28007.98866,21253.34023
10/31/2013,28007.98866,34971.60638
11/1/2013,32326.32403,36418.93662
11/2/2013,34871.04695,0
11/3/2013,35182.05135,0
11/4/2013,34805.16108,42245.15162
11/5/2013,33413.89168,18259.64638
11/6/2013,33413.89168,42206.52262
11/7/2013,33413.89168,53358.94769
11/8/2013,36902.82533,38575.008
11/9/2013,37926.29588,0
11/10/2013,38388.73915,0
11/11/2013,41963.05445,107314.2522
11/12/2013,43654.75779,75011.31908
11/13/2013,43654.75779,19583.30969
11/14/2013,43654.75779,30039.046
11/15/2013,44168.53812,28639.43469
11/16/2013,45367.21023,0
11/17/2013,44906.03663,0
11/18/2013,41912.52437,86016.72385
11/19/2013,39915.49395,40027.85877
11/20/2013,39915.49395,29470.60123
11/21/2013,39915.49395,98484.44
11/22/2013,35935.81612,66479.20354
11/23/2013,33238.40373,0
11/24/2013,34093.38577,0
11/25/2013,33678.04784,51374.63285
11/26/2013,35188.36401,39559.12769
11/27/2013,35188.36401,34011.82254
11/28/2013,35188.36401,166.5376923
11/29/2013,32098.7302,3089.313385
11/30/2013,30770.63071,0
12/1/2013,30061.8045,0
12/2/2013,25763.84497,36598.43846
12/3/2013,26188.955,27080.37592
12/4/2013,26188.955,34775.68285
12/5/2013,26188.955,22658.81038
12/6/2013,24925.07988,55476.59131
12/7/2013,23515.09745,0
12/8/2013,22908.53187,0
12/9/2013,26230.34023,31116.30769
12/10/2013,27288.06605,16428.55238
12/11/2013,27288.06605,16875.30477
12/12/2013,27288.06605,22113.00538
12/13/2013,26703.54549,74033.08169
12/14/2013,25179.54165,0
12/15/2013,23222.46859,0
12/16/2013,23151.59023,28916.54423
12/17/2013,22613.78203,14504.82438
12/18/2013,22613.78203,23233.61885
12/19/2013,22613.78203,59192.517
12/20/2013,20968.90883,21884.28746
12/21/2013,20691.82925,0
12/22/2013,19742.13678,0
12/23/2013,19155.9282,26211.95785
12/24/2013,15128.64954,0
12/25/2013,15128.64954,0
12/26/2013,15128.64954,21399.35638
12/27/2013,15310.65041,45920.15338
12/28/2013,17212.3203,0
12/29/2013,17629.15552,0
12/30/2013,15270.54902,1888.176154
12/31/2013,15379.84355,11505.06154
1/1/2014,15379.84355,0
1/2/2014,15379.84355,11696.52985
1/3/2014,16582.07157,2471.437692
1/4/2014,17515.36782,0
1/5/2014,19755.75773,0
1/6/2014,20906.01406,32150.55977
1/7/2014,19496.6482,48296.03562
1/8/2014,19496.6482,30640.45992
1/9/2014,19496.6482,17281.89385
1/10/2014,22796.33934,23826.36708
1/11/2014,24924.40579,0
1/12/2014,25674.14733,0
1/13/2014,26425.4051,47574.62523
1/14/2014,28389.0243,16583.95631
1/15/2014,28389.0243,39810.00538
1/16/2014,28389.0243,41838.52662
1/17/2014,30254.01825,20876.80615
1/18/2014,28634.96966,0
1/19/2014,28713.06433,0
1/20/2014,30715.27591,60521.14938
1/21/2014,30346.21422,49319.16546
1/22/2014,30346.21422,13322.33031
1/23/2014,30346.21422,25045.80269
1/24/2014,28644.85118,37363.44031
1/25/2014,29614.96138,0
1/26/2014,29001.47555,0
1/27/2014,27833.6344,65290.06769
1/28/2014,27823.89095,19526.78762
1/29/2014,27823.89095,32028.142
1/30/2014,27823.89095,52859.65346
1/31/2014,26093.48964,17268.42485
2/1/2014,24406.97649,0
2/2/2014,27841.92203,0
2/3/2014,27832.20993,17342.71277
2/4/2014,28113.75715,33822.06838
